Application Name,Version,Dependency,App Usage,MSI,MST,Config Files,Setup.exe,license server,License type,Lic count,Number of staff ,Application Type,Phase,Hardcoded License issue,Sequencing Done,Tech,AKS and other Documentation,Tech,Publishing Done,Tech,Published on Citrix Storefront,Tech,Testing Done,Tech,Directly on Server,Comments
@RISK,6.2,Excel preinstalled,FBE,no,no,no,yes,yes,INDIVIDUAL,1,0,add-in,1,no,,,,,,,,,,,,
Acrobat Reader,11.0.10,None,FBE,yes,yes,no,no,no,Freeware,NA,NA,application,1,no,yes,AB,yes,AB,yes,AB,yes,RA,yes,AB,no,
Adobe Acrobat Pro,10,None,FBE,yes,yes,no,no,no,Faculty concurrent,60,200,application,1,no,,,,,,,,,,,,Are we moving to Acrobat Pro XI or DC??
Adobe Creative Cloud,1,None,FBE,yes,no,yes,yes,no,Faculty individual,10,10,application,1,no,,AB,,,,,,,,,,"6 Windows users 4 MAC users (DL to investigate, if packages can be broken down into indivdual apps)"
Adobe Flash,latest,None,UNI,no,no,no,yes,no,Freeware,NA,Unknown,middleware,1,no,,,,,,,,,,,,
Articulate Storyline,2,.Net framework 4.0,FBE,no,no,no,yes,no,Faculty individual,1,1,application,1,yes,,,,,,,,,,,,"we own 1 licence, cannot register a second instance in sequencing"
Camtasia,8.3,"Flash Player, MS Office, .Net Framework 4",FBE,yes,yes,no,no,no,Faculty concurrent,50,6,application,1,no,,FG,,,,,,,,,,
Datastream,5.1,,FBE,yes,no,no,no,no,Faculty Site,NA,Unknown,application,1,no,,,,,,,,,,,,
EcStat,latest,Microsoft Office,FBE,no,no,no,yes,no,Freeware,NA,Unknown,add-in,1,To be investigated,,,,,,,,,,,,Office add-in
EndNote,X7.0.2,MS Office,UNI,yes,no,no,no,yes,Uni Site,NA,Unknown,application add-in,1,no,,,,,,,,,,,,Consider X7.3
Eviews,9,Visual C++ 2010Visual,FBE,yes,no,yes,no,yes,concurrent,200,21,application,1,no,yes,FG,yes,AB,yes,FG,yes,AW,yes,FG,no,AKS uploaded by Andy on Fab's behalf
Gretl,1.9.5,None,FBE,yes,no,no,no,no,Freeware,NA,Unknown,application,1,yes,,,,,,,,,,,,Issue log - cannot write to folder structure - investigating
Java,latest,None,UNI,no,no,no,yes,no,Freeware,NA,Unknown,middleware,1,no,,,,,,,,,,,,
Leximancer,4,Java specific version (6u39/6u41),FBE,no,no,yes,yes,no,Faculty Site,NA,Unknown,application,1,no,,,,,,,,,,,,Client User permission issue encountered. Added to Application Issue Log
