MachineName,PrimaryUser,SystemManufacturer,SystemProduct,SystemModel,CPUProduct,CPU Speed(MHz),Device CreateDate,Hard DiskSpace,Free DiskSpace,IP Address
fbe-100461,mq92501184,,Core i5 2670 System,,Core i5,2670,10/11/2012,320070,130493,10.41.24.113
fbe-100479,mq20111673,,Core i5 2670 System,,Core i5,2670,09/13/2012,320070,128843,10.41.19.186
fbe-100487,mq20101138,,Core i5 2670 System,,Core i5,2670,5/08/2012,250057,112194,10.41.70.145
fbe-100628,mq20101406,,Core i5 2670 System,,Core i5,2670,09/13/2012,476938,82520,10.41.57.27
fbe-100636,mq20120413,,Core i5 2670 System,,Core i5,2670,09/14/2012,500105,121757,10.41.20.135
fbe-100644,mq20021175,,Core i5 2670 System,,Core i5,2670,10/07/2012,500105,105955,10.41.62.224
fbe-100651,mq20071980,,Core i5 2670 System,,Core i5,2670,09/14/2012,500105,123280,10.41.29.132
fbe-100677,mq42378419,,Core i5 2670 System,,Core i5,2670,09/14/2012,500105,102894,10.41.42.157
fbe-100685,mq20101568,,Core i5 2670 System,,Core i5,2670,09/14/2012,500105,110264,10.41.46.6
fbe-101121,mq20085471,,Core2 Duo 2200 System,,Core2 Duo,2200,09/13/2012,320070,107037,10.41.74.32
fbe-101352,mq20111223,Toshiba,Portege R830,PT320A-03N007,Core i5-2410M,2300,09/17/2012,476938,91564,10.72.2.101
fbe-102418,mq20112237,,Core i5 2800 System,,Core i5,2800,09/17/2012,500105,111833,10.41.65.191
fbe-102426,mq20084092,,Core i5 2800 System,,Core i5,2800,09/17/2012,500105,118353,10.41.67.163
fbe-102459,mq20019030,,Core2 Duo 2200 System,,Core2 Duo,2200,6/07/2012,320070,103674,10.41.78.28
fbe-102467,mq20072934,,Core2 Duo 2200 System,,Core2 Duo,2200,9/10/2012,320070,101888,10.41.73.72
fbe-102475,mq20111524,,Core2 Duo 2200 System,,Core2 Duo,2200,08/15/2012,320070,115300,10.41.72.244
fbe-102483,mq20060449,,Core2 Duo 2200 System,,Core2 Duo,2200,6/08/2012,320070,107907,10.41.74.17
fbe-102509,mq20111677,,Core2 Duo 2200 System,,Core2 Duo,2200,09/13/2012,320070,106615,10.41.77.240
fbe-102517,mq20072934,,Core2 Duo 2200 System,,Core2 Duo,2200,08/15/2012,320070,111589,10.41.77.172
fbe-102525,mq20111677,,Core2 Duo 2200 System,,Core2 Duo,2200,9/10/2012,320070,113658,10.41.74.12
fbe-102533,mq20120516,,Core2 Duo 2200 System,,Core2 Duo,2200,9/11/2012,320070,113419,10.41.78.109
fbe-103234,MQ20058302,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/20/2014,244191,24338,10.72.2.229
fbe-103267,mqx804212,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,7/04/2014,244191,185931,10.41.19.158
fbe-103275,mq20072810,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/20/2014,244191,97937,10.70.29.6
fbe-103804,mq20109122,Dell,Latitude E4300,,Core2 Duo,2400,2/08/2012,238473,112291,10.41.20.86
fbe-103978,mq20101542,,Core2 Duo 2200 System,,Core2 Duo,2200,6/04/2012,320070,122277,10.41.75.98
fbe-103994,mq20071928,,Core2 Duo 2200 System,,Core2 Duo,2200,6/04/2012,320070,116448,10.41.73.68
fbe-104018,mq20111839,,Core2 Duo 2200 System,,Core2 Duo,2200,6/04/2012,320070,126067,10.41.74.31
fbe-104042,mq20112235,,Core2 Duo 2200 System,,Core2 Duo,2200,6/04/2012,320070,125581,10.41.74.154
fbe-104059,mq20109053,,Core2 Duo 2200 System,,Core2 Duo,2200,6/04/2012,320070,125328,10.41.77.85
fbe-104075,mq20112569,,Core2 Duo 2200 System,,Core2 Duo,2200,6/04/2012,320070,126721,10.41.74.22
fbe-106815,mq20072680,Dell,Latitude E6500,,Core2 Duo,2400,4/06/2012,238473,104345,192.168.0.2
fbe-107748,mq20085471,,Core2 Duo 2200 System,,Core2 Duo,2200,9/10/2012,320070,113595,10.41.77.238
fbe-107755,mq20084777,,Core2 Duo 2200 System,,Core2 Duo,2200,09/13/2012,320070,103630,10.41.72.161
fbe-109108,mq20060031,,Core i5 2800 System,,Core i5,2800,09/14/2012,781512,374607,10.41.67.173
fbe-109884,mq20045663,Toshiba,Portege R700,PT310A-07F011,Core i5,2530,09/13/2012,476938,88940,10.41.26.57
fbe-109892,mq20073628,Toshiba,Portege R700,PT310A-07F011,Core i5,2530,10/03/2012,476938,197466,10.41.20.175
fbe-109918,42534100,Toshiba,Portege R700,PT310A-07F011,Core i5,2530,02/21/2013,476938,371854,169.254.247.140
fbe-110015,mq98002441,LENOVO,ThinkPad T510,4349-4VM,Core i5,2400,03/28/2014,305242,198204,10.41.17.190
fbe-110221,mq20045669,Fujitsu,LIFEBOOK T730,,Core i5,2400,03/13/2014,476938,191593,10.72.3.159
fbe-110627,mq93501641,Fujitsu,0,,Core i5-2450M,2500,5/08/2014,476938,196826,10.41.17.58
fbe-110643,mq20060031,ASUSTeK Computer Inc.,UX31E,,Core i7-2677M,1800,5/08/2012,244191,126225,192.168.0.8
fbe-110650,mq20109504,ASUSTeK Computer Inc.,UX31E,,Core i7-2677M,1800,6/12/2012,244191,117309,10.72.2.137
fbe-110668,42940656,ASUSTeK Computer Inc.,UX31E,,Core i7-2677M,1800,07/23/2012,244191,58306,10.41.82.136
fbe-110676,MQ20148974,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/20/2014,244191,92344,10.72.2.245
fbe-110684,mq20112622,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/21/2014,244191,96477,10.72.3.124
fbe-110692,mq90503546,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/20/2014,244191,99081,192.168.0.19
fbe-110726,MQ20148778,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/20/2014,244191,98024,10.72.23.112
fbe-110734,mq93501641,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,08/20/2014,244191,186181,192.168.1.60
